Example 2, Multinomial

i: 0 Theta: [0.001,0.999] Y3: [0,0]
i: 1 Theta: [0.299743,1.04963] Y3: [0.0624688,41.6389]
i: 2 Theta: [0.437237,0.872363] Y3: [16.2922,43.0228]
i: 3 Theta: [0.513123,0.762126] Y3: [22.4248,37.9636]
i: 4 Theta: [0.558946,0.702302] Y3: [25.5222,34.49]
i: 5 Theta: [0.586714,0.669526] Y3: [27.3035,32.4863]
i: 6 Theta: [0.603309,0.65121] Y3: [28.3523,31.3504]
i: 7 Theta: [0.613109,0.640829] Y3: [28.9684,30.7034]
i: 8 Theta: [0.618849,0.634893] Y3: [29.3285,30.3327]
i: 9 Theta: [0.622195,0.631481] Y3: [29.5382,30.1195]
i: 10 Theta: [0.624139,0.629515] Y3: [29.66,29.9965]
i: 11 Theta: [0.625268,0.628379] Y3: [29.7307,29.9254]
i: 12 Theta: [0.625922,0.627723] Y3: [29.7716,29.8843]
i: 13 Theta: [0.6263,0.627343] Y3: [29.7953,29.8606]
i: 14 Theta: [0.62652,0.627123] Y3: [29.8091,29.8468]
i: 15 Theta: [0.626647,0.626996] Y3: [29.817,29.8389]
i: 16 Theta: [0.62672,0.626923] Y3: [29.8216,29.8343]
i: 17 Theta: [0.626763,0.62688] Y3: [29.8243,29.8316]
i: 18 Theta: [0.626788,0.626855] Y3: [29.8258,29.8301]
i: 19 Theta: [0.626802,0.626841] Y3: [29.8267,29.8292]
i: 20 Theta: [0.62681,0.626833] Y3: [29.8272,29.8287]
i: 21 Theta: [0.626815,0.626828] Y3: [29.8275,29.8284]
i: 22 Theta: [0.626818,0.626825] Y3: [29.8277,29.8282]
i: 23 Theta: [0.626819,0.626824] Y3: [29.8278,29.8281]
i: 24 Theta: [0.62682,0.626823] Y3: [29.8279,29.828]
i: 25 Theta: [0.626821,0.626822] Y3: [29.8279,29.828]
i: 26 Theta: [0.626821,0.626822] Y3: [29.8279,29.828]
i: 27 Theta: [0.626821,0.626822] Y3: [29.8279,29.828]
i: 28 Theta: [0.626821,0.626822] Y3: [29.8279,29.828]



i: 70 Theta: [0.626821,0.626821] Y3: [29.8279,29.8279]
